SimNum,Stage,Scenario,Demand,Wind,c_DA,Model
1,1,5.0,1.0,5.0,0.0,Expected
1,2,3.0,1.0,3.0,0.0,Expected
1,3,5.0,1.0,5.0,0.0,Expected
1,4,5.0,1.0,5.0,0.0,Expected
1,5,4.0,1.0,4.0,0.0,Expected
1,6,5.0,4.0,5.0,0.0,Expected
1,7,5.0,4.0,5.0,0.0,Expected
1,8,4.0,4.0,4.0,0.0,Expected
1,9,2.0,3.0,2.0,0.0,Expected
1,10,2.0,3.0,2.0,0.0,Expected
1,11,4.0,3.0,4.0,0.0,Expected
1,12,4.0,3.0,4.0,0.0,Expected
1,13,5.0,3.0,5.0,0.0,Expected
1,14,3.0,3.0,3.0,0.0,Expected
1,15,2.0,3.0,2.0,0.0,Expected
1,16,5.0,3.0,5.0,0.0,Expected
1,17,5.0,5.0,5.0,0.0,Expected
1,18,3.0,5.0,3.0,0.0,Expected
1,19,5.0,5.0,5.0,0.0,Expected
1,20,3.0,3.0,3.0,0.0,Expected
1,21,4.0,3.0,4.0,0.0,Expected
1,22,5.0,3.0,5.0,0.0,Expected
1,23,5.0,3.0,5.0,0.0,Expected
1,24,5.0,3.0,5.0,0.0,Expected
2,1,4.0,1.0,4.0,0.0,Expected
2,2,4.0,1.0,4.0,0.0,Expected
2,3,5.0,1.0,5.0,0.0,Expected
2,4,5.0,1.0,5.0,0.0,Expected
2,5,5.0,1.0,5.0,0.0,Expected
2,6,2.0,4.0,2.0,0.0,Expected
2,7,5.0,4.0,5.0,0.0,Expected
2,8,4.0,4.0,4.0,0.0,Expected
2,9,5.0,3.0,5.0,0.0,Expected
2,10,5.0,3.0,5.0,0.0,Expected
2,11,3.0,3.0,3.0,0.0,Expected
2,12,5.0,3.0,5.0,0.0,Expected
2,13,2.0,3.0,2.0,0.0,Expected
2,14,3.0,3.0,3.0,0.0,Expected
2,15,5.0,3.0,5.0,0.0,Expected
2,16,2.0,3.0,2.0,0.0,Expected
2,17,3.0,5.0,3.0,0.0,Expected
2,18,2.0,5.0,2.0,0.0,Expected
2,19,2.0,5.0,2.0,0.0,Expected
2,20,2.0,3.0,2.0,0.0,Expected
2,21,3.0,3.0,3.0,0.0,Expected
2,22,3.0,3.0,3.0,0.0,Expected
2,23,3.0,3.0,3.0,0.0,Expected
2,24,4.0,3.0,4.0,0.0,Expected
3,1,3.0,1.0,3.0,0.0,Expected
3,2,3.0,1.0,3.0,0.0,Expected
3,3,4.0,1.0,4.0,0.0,Expected
3,4,5.0,1.0,5.0,0.0,Expected
3,5,2.0,1.0,2.0,0.0,Expected
3,6,5.0,4.0,5.0,0.0,Expected
3,7,5.0,4.0,5.0,0.0,Expected
3,8,2.0,4.0,2.0,0.0,Expected
3,9,4.0,3.0,4.0,0.0,Expected
3,10,3.0,3.0,3.0,0.0,Expected
3,11,5.0,3.0,5.0,0.0,Expected
3,12,4.0,3.0,4.0,0.0,Expected
3,13,5.0,3.0,5.0,0.0,Expected
3,14,2.0,3.0,2.0,0.0,Expected
3,15,4.0,3.0,4.0,0.0,Expected
3,16,2.0,3.0,2.0,0.0,Expected
3,17,3.0,5.0,3.0,0.0,Expected
3,18,4.0,5.0,4.0,0.0,Expected
3,19,5.0,5.0,5.0,0.0,Expected
3,20,3.0,3.0,3.0,0.0,Expected
3,21,4.0,3.0,4.0,0.0,Expected
3,22,4.0,3.0,4.0,0.0,Expected
3,23,3.0,3.0,3.0,0.0,Expected
3,24,5.0,3.0,5.0,0.0,Expected
4,1,2.0,1.0,2.0,0.0,Expected
4,2,3.0,1.0,3.0,0.0,Expected
4,3,3.0,1.0,3.0,0.0,Expected
4,4,4.0,1.0,4.0,0.0,Expected
4,5,3.0,1.0,3.0,0.0,Expected
4,6,2.0,4.0,2.0,0.0,Expected
4,7,4.0,4.0,4.0,0.0,Expected
4,8,4.0,4.0,4.0,0.0,Expected
4,9,2.0,3.0,2.0,0.0,Expected
4,10,3.0,3.0,3.0,0.0,Expected
4,11,4.0,3.0,4.0,0.0,Expected
4,12,4.0,3.0,4.0,0.0,Expected
4,13,2.0,3.0,2.0,0.0,Expected
4,14,5.0,3.0,5.0,0.0,Expected
4,15,2.0,3.0,2.0,0.0,Expected
4,16,3.0,3.0,3.0,0.0,Expected
4,17,2.0,5.0,2.0,0.0,Expected
4,18,5.0,5.0,5.0,0.0,Expected
4,19,4.0,5.0,4.0,0.0,Expected
4,20,3.0,3.0,3.0,0.0,Expected
4,21,5.0,3.0,5.0,0.0,Expected
4,22,4.0,3.0,4.0,0.0,Expected
4,23,4.0,3.0,4.0,0.0,Expected
4,24,2.0,3.0,2.0,0.0,Expected
5,1,2.0,1.0,2.0,0.0,Expected
5,2,3.0,1.0,3.0,0.0,Expected
5,3,3.0,1.0,3.0,0.0,Expected
5,4,4.0,1.0,4.0,0.0,Expected
5,5,2.0,1.0,2.0,0.0,Expected
5,6,4.0,4.0,4.0,0.0,Expected
5,7,3.0,4.0,3.0,0.0,Expected
5,8,5.0,4.0,5.0,0.0,Expected
5,9,2.0,3.0,2.0,0.0,Expected
5,10,3.0,3.0,3.0,0.0,Expected
5,11,4.0,3.0,4.0,0.0,Expected
5,12,4.0,3.0,4.0,0.0,Expected
5,13,2.0,3.0,2.0,0.0,Expected
5,14,5.0,3.0,5.0,0.0,Expected
5,15,4.0,3.0,4.0,0.0,Expected
5,16,5.0,3.0,5.0,0.0,Expected
5,17,4.0,5.0,4.0,0.0,Expected
5,18,2.0,5.0,2.0,0.0,Expected
5,19,2.0,5.0,2.0,0.0,Expected
5,20,2.0,3.0,2.0,0.0,Expected
5,21,3.0,3.0,3.0,0.0,Expected
5,22,5.0,3.0,5.0,0.0,Expected
5,23,2.0,3.0,2.0,0.0,Expected
5,24,4.0,3.0,4.0,0.0,Expected
6,1,3.0,1.0,3.0,0.0,Expected
6,2,2.0,1.0,2.0,0.0,Expected
6,3,3.0,1.0,3.0,0.0,Expected
6,4,4.0,1.0,4.0,0.0,Expected
6,5,3.0,1.0,3.0,0.0,Expected
6,6,5.0,4.0,5.0,0.0,Expected
6,7,2.0,4.0,2.0,0.0,Expected
6,8,3.0,4.0,3.0,0.0,Expected
6,9,2.0,3.0,2.0,0.0,Expected
6,10,5.0,3.0,5.0,0.0,Expected
6,11,2.0,3.0,2.0,0.0,Expected
6,12,2.0,3.0,2.0,0.0,Expected
6,13,4.0,3.0,4.0,0.0,Expected
6,14,5.0,3.0,5.0,0.0,Expected
6,15,3.0,3.0,3.0,0.0,Expected
6,16,4.0,3.0,4.0,0.0,Expected
6,17,2.0,5.0,2.0,0.0,Expected
6,18,2.0,5.0,2.0,0.0,Expected
6,19,4.0,5.0,4.0,0.0,Expected
6,20,5.0,3.0,5.0,0.0,Expected
6,21,4.0,3.0,4.0,0.0,Expected
6,22,4.0,3.0,4.0,0.0,Expected
6,23,4.0,3.0,4.0,0.0,Expected
6,24,5.0,3.0,5.0,0.0,Expected
7,1,4.0,1.0,4.0,0.0,Expected
7,2,4.0,1.0,4.0,0.0,Expected
7,3,2.0,1.0,2.0,0.0,Expected
7,4,5.0,1.0,5.0,0.0,Expected
7,5,4.0,1.0,4.0,0.0,Expected
7,6,2.0,4.0,2.0,0.0,Expected
7,7,3.0,4.0,3.0,0.0,Expected
7,8,5.0,4.0,5.0,0.0,Expected
7,9,3.0,3.0,3.0,0.0,Expected
7,10,2.0,3.0,2.0,0.0,Expected
7,11,5.0,3.0,5.0,0.0,Expected
7,12,2.0,3.0,2.0,0.0,Expected
7,13,2.0,3.0,2.0,0.0,Expected
7,14,5.0,3.0,5.0,0.0,Expected
7,15,4.0,3.0,4.0,0.0,Expected
7,16,5.0,3.0,5.0,0.0,Expected
7,17,3.0,5.0,3.0,0.0,Expected
7,18,5.0,5.0,5.0,0.0,Expected
7,19,3.0,5.0,3.0,0.0,Expected
7,20,4.0,3.0,4.0,0.0,Expected
7,21,4.0,3.0,4.0,0.0,Expected
7,22,3.0,3.0,3.0,0.0,Expected
7,23,2.0,3.0,2.0,0.0,Expected
7,24,5.0,3.0,5.0,0.0,Expected
8,1,4.0,1.0,4.0,0.0,Expected
8,2,5.0,1.0,5.0,0.0,Expected
8,3,3.0,1.0,3.0,0.0,Expected
8,4,3.0,1.0,3.0,0.0,Expected
8,5,2.0,1.0,2.0,0.0,Expected
8,6,3.0,4.0,3.0,0.0,Expected
8,7,4.0,4.0,4.0,0.0,Expected
8,8,4.0,4.0,4.0,0.0,Expected
8,9,2.0,3.0,2.0,0.0,Expected
8,10,5.0,3.0,5.0,0.0,Expected
8,11,3.0,3.0,3.0,0.0,Expected
8,12,3.0,3.0,3.0,0.0,Expected
